David J. Fielding,Book now for $20,Actor - Power Rangers,1 DAY.,53 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con', 'https://www.cameo.com/c/power-rangers']"
Tanner Zipchen,Book now for $25,Host - Actor,1 DAY.,45 Reviews,5 stars,"['https://www.cameo.com/c/commentators', 'https://www.cameo.com/c/actors']"
Emily Kuroda,Book now for $50,Actress - Gilmore Girls,1 DAY.,59 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/gilmore-girls']"
Robert Picardo,Book now for $100,Actor - Star Trek - China Beach,12 HOURS.,39 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/film', 'https://www.cameo.com/c/star-trek', 'https://www.cameo.com/c/sci-fi']"
Stuttering John Melendez,Book now for $75,Comedian,8 HOURS.,48 Reviews,5 stars,"['https://www.cameo.com/c/comedians', 'https://www.cameo.com/c/actors']"
Bai Ling,Book now for $66,Actress,1 DAY.,44 Reviews,4.9 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con']"
Susan Bennett,Book now for $20,Voice Actor - Voice of Siri,12 HOURS.,54 Reviews,4.9 stars,"['https://www.cameo.com/c/singersongwriter', 'https://www.cameo.com/c/voice-actors', 'https://www.cameo.com/c/actors']"
Adam Barta,Book now for $30,Recording Artist,2 DAYS.,30 Reviews,5 stars,"['https://www.cameo.com/c/reality', 'https://www.cameo.com/c/singersongwriter', 'https://www.cameo.com/c/actors']"
Mindy Cohn,Book now for $50,Actress - Singer,2 DAYS.,65 Reviews,4.9 stars,"['https://www.cameo.com/c/singersongwriter', 'https://www.cameo.com/c/voice-actors', 'https://www.cameo.com/c/actors']"
James Payton,Book now for $15,Actor - Harry Potter,2 DAYS.,82 Reviews,5 stars,"['https://www.cameo.com/c/harry-potter', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con']"
Lorenzo Lamas,Book now for $50,Actor,1 DAY.,33 Reviews,4.9 stars,['https://www.cameo.com/c/actors']
Scott Patterson,Book now for $135,Actor - Gilmore Girls,4 HOURS.,63 Reviews,5 stars,"['https://www.cameo.com/c/featured', 'https://www.cameo.com/c/actors', 'https://www.cameo.com/c/television', 'https://www.cameo.com/c/netflix', 'https://www.cameo.com/c/film', 'https://www.cameo.com/c/gilmore-girls']"
Michael Ray Bower,Book now for $55,Actor- Salute Your Shorts,4 HOURS.,27 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/nineties-throwback', 'https://www.cameo.com/c/television']"
Blake Michael,Book now for $39,Actor - Dog with a Blog,2 HOURS.,50 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/for-charity', 'https://www.cameo.com/c/disney', 'https://www.cameo.com/c/television']"
Hayley Podschun,Book now for $10,Broadway Actress - Wicked the Musical,1 DAY.,32 Reviews,5 stars,"['https://www.cameo.com/c/broadway', 'https://www.cameo.com/c/actors']"
Willie Garson,Book now for $80,"Actor - White Collar, Sex and the City, Hawaii 5-0",6 HOURS.,46 Reviews,5 stars,"['https://www.cameo.com/c/actors', 'https://www.cameo.com/c/comic-con']"
